NAME                                                                          VERSION                                              TYPE      
libaudit-common                                                               1:3.0-2                                              deb
libaudit1                                                                     1:3.0-2                                              deb
libbinutils                                                                   2.39-8                                               deb
libblkid1                                                                     2.36.1-8+deb11u1                                     deb
libbrotli1                                                                    1.0.9-2+b2                                           deb
libbsd0                                                                       0.11.3-1                                             deb
libbz2-1.0                                                                    1.0.8-4                                              deb
libc-bin                                                                      2.36-5                                               deb
libc-dev-bin                                                                  2.36-5                                               deb
libc6                                                                         2.36-5                                               deb
libc6-dev                                                                     2.36-5                                               deb
libcap-ng0                                                                    0.7.9-2.2+b1                                         deb
libcbor0                                                                      0.5.0+dfsg-2                                         deb
libcc1-0                                                                      12.2.0-9                                             deb
libcom-err2                                                                   1.46.2-2                                             deb
libcrypt-dev                                                                  1:4.4.18-4                                           deb
libcrypt1                                                                     1:4.4.18-4                                           deb
libctf-nobfd0                                                                 2.39-8                                               deb
libctf0                                                                       2.39-8                                               deb
libcurl3-gnutls                                                               7.74.0-1.3+deb11u3                                   deb
libcurl4                                                                      7.86.0-2                                             deb
libdb5.3                                                                      5.3.28+dfsg1-0.8                                     deb
libdebconfclient0                                                             0.260                                                deb
libdpkg-perl                                                                  1.20.12                                              deb
libedit2                                                                      3.1-20191231-2+b1                                    deb
liberror-perl                                                                 0.17029-1                                            deb
libexpat1                                                                     2.2.10-2+deb11u5                                     deb
libext2fs2                                                                    1.46.2-2                                             deb
libffi7                                                                       3.3-6                                                deb
libffi8                                                                       3.4.4-1                                              deb
libfido2-1                                                                    1.6.0-2                                              deb
libgcc-10-dev                                                                 10.2.1-6                                             deb
libgcc-12-dev                                                                 12.2.0-9                                             deb
libgcc-s1                                                                     12.2.0-9                                             deb
libgcrypt20                                                                   1.10.1-3                                             deb
libgdbm-compat4                                                               1.19-2                                               deb
libgdbm6                                                                      1.19-2                                               deb
libgit2-1.3                                                                   1.3.0+dfsg.1-3                                       deb
libgit2-1.5                                                                   1.5.0+ds-6                                           deb
libgit2-dev                                                                   1.5.0+ds-6                                           deb
libglib2.0-0                                                                  2.66.8-1                                             deb
libgmp10                                                                      2:6.2.1+dfsg1-1.1                                    deb
libgnutls30                                                                   3.7.8-4                                              deb
libgomp1                                                                      12.2.0-9                                             deb
libgpg-error0                                                                 1.46-1                                               deb
libgpm2                                                                       1.20.7-10+b1                                         deb
libgprofng0                                                                   2.39-8                                               deb
libgssapi-krb5-2                                                              1.18.3-6+deb11u2                                     deb
libhogweed6                                                                   3.7.3-1                                              deb
libhttp-parser-dev                                                            2.9.4-5                                              deb
libhttp-parser2.9                                                             2.9.4-5                                              deb
libicu72                                                                      72.1-3                                               deb
libidn2-0                                                                     2.3.0-5                                              deb
libisl23                                                                      0.23-1                                               deb
libitm1                                                                       12.2.0-9                                             deb
libjq1                                                                        1.6-2.1                                              deb
libjsoncpp25                                                                  1.9.5-4                                              deb
libk5crypto3                                                                  1.18.3-6+deb11u2                                     deb
libkeyutils1                                                                  1.6.1-2                                              deb
libkrb5-3                                                                     1.18.3-6+deb11u2                                     deb
libkrb5support0                                                               1.18.3-6+deb11u2                                     deb
libksba8                                                                      1.6.2-4                                              deb
libldap-2.4-2                                                                 2.4.57+dfsg-3+deb11u1                                deb
libldap-2.5-0                                                                 2.5.13+dfsg-2+b1                                     deb
liblsan0                                                                      12.2.0-9                                             deb
liblz4-1                                                                      1.9.3-2                                              deb
liblzma5                                                                      5.2.5-2.1~deb11u1                                    deb
libmbedcrypto7                                                                2.28.1-1                                             deb
libmbedtls-dev                                                                2.28.1-1                                             deb
libmbedtls14                                                                  2.28.1-1                                             deb
libmbedx509-1                                                                 2.28.1-1                                             deb
libmd0                                                                        1.0.3-3                                              deb
libmount1                                                                     2.36.1-8+deb11u1                                     deb
libmpc3                                                                       1.2.0-1                                              deb
libmpdec3                                                                     2.5.1-1                                              deb
libmpfr6                                                                      4.1.0-3                                              deb
libncurses6                                                                   6.2+20201114-2                                       deb
libncursesw6                                                                  6.2+20201114-2                                       deb
libnettle8                                                                    3.7.3-1                                              deb
libnghttp2-14                                                                 1.50.0-1+b1                                          deb
libnpmaccess                                                                  6.0.4                                                npm
libnpmdiff                                                                    4.0.5                                                npm
libnpmexec                                                                    4.0.13                                               npm
libnpmfund                                                                    3.0.4                                                npm
libnpmhook                                                                    8.0.4                                                npm
libnpmorg                                                                     4.0.4                                                npm
libnpmpack                                                                    4.1.3                                                npm
libnpmpublish                                                                 6.0.5                                                npm
libnpmsearch                                                                  5.0.4                                                npm
libnpmteam                                                                    4.0.4                                                npm
libnpmversion                                                                 3.0.7                                                npm
libnpth0                                                                      1.6-3                                                deb
libnsl-dev                                                                    1.3.0-2                                              deb
libnsl2                                                                       1.3.0-2                                              deb
libonig5                                                                      6.9.8-1                                              deb
libp11-kit0                                                                   0.23.22-1                                            deb
libpam-modules                                                                1.4.0-9+deb11u1                                      deb
libpam-modules-bin                                                            1.4.0-9+deb11u1                                      deb
libpam-runtime                                                                1.4.0-9+deb11u1                                      deb
libpam0g                                                                      1.4.0-9+deb11u1                                      deb
libpcre2-16-0                                                                 10.40-2                                              deb
libpcre2-32-0                                                                 10.40-2                                              deb
libpcre2-8-0                                                                  10.40-2                                              deb
libpcre2-dev                                                                  10.40-2                                              deb
libpcre2-posix3                                                               10.40-2                                              deb
libpcre3                                                                      2:8.39-13                                            deb
libperl5.32                                                                   5.32.1-4+deb11u2                                     deb
libprocps8                                                                    2:3.3.17-5                                           deb
libpsl5                                                                       0.21.0-1.2                                           deb
libpython3-stdlib                                                             3.10.6-1                                             deb
libpython3.10-minimal                                                         3.10.8-3                                             deb
libpython3.10-stdlib                                                          3.10.8-3                                             deb
libpython3.9-minimal                                                          3.9.2-1                                              deb
libpython3.9-stdlib                                                           3.9.2-1                                              deb
libquadmath0                                                                  12.2.0-9                                             deb
libreadline8                                                                  8.1-1                                                deb
librhash0                                                                     1.4.3-3                                              deb
librtmp1                                                                      2.4+20151223.gitfa8646d.1-2+b2                       deb
libsasl2-2                                                                    2.1.28+dfsg-10                                       deb
libsasl2-modules-db                                                           2.1.28+dfsg-10                                       deb
libseccomp2                                                                   2.5.1-1+deb11u1                                      deb
libselinux1                                                                   3.1-3                                                deb
libsemanage-common                                                            3.1-1                                                deb
libsemanage1                                                                  3.1-1+b2                                             deb
libsepol1                                                                     3.1-1                                                deb
libserf-1-1                                                                   1.3.9-10                                             deb
libsmartcols1                                                                 2.36.1-8+deb11u1                                     deb
libsodium23                                                                   1.0.18-1                                             deb
libsqlite3-0                                                                  3.34.1-3                                             deb
libss2                                                                        1.46.2-2                                             deb
libssh2-1                                                                     1.10.0-3+b1                                          deb
libssh2-1-dev                                                                 1.10.0-3+b1                                          deb
libssl-dev                                                                    3.0.7-1                                              deb
libssl1.1                                                                     1.1.1n-0+deb11u3                                     deb
libssl3                                                                       3.0.7-1                                              deb
libstdc++-10-dev                                                              10.2.1-6                                             deb
libstdc++-12-dev                                                              12.2.0-9                                             deb
libstdc++6                                                                    12.2.0-9                                             deb
libsvn1                                                                       1.14.1-3+deb11u1                                     deb
libsystemd0                                                                   247.3-7+deb11u1                                      deb
libtasn1-6                                                                    4.16.0-2                                             deb
libtinfo6                                                                     6.2+20201114-2                                       deb
libtirpc-common                                                               1.3.1-1+deb11u1                                      deb
libtirpc-dev                                                                  1.3.1-1+deb11u1                                      deb
libtirpc3                                                                     1.3.1-1+deb11u1                                      deb
libtsan0                                                                      10.2.1-6                                             deb
libtsan2                                                                      12.2.0-9                                             deb
libubsan1                                                                     12.2.0-9                                             deb
libudev1                                                                      247.3-7+deb11u1                                      deb
libunistring2                                                                 0.9.10-4                                             deb
libutf8proc2                                                                  2.5.0-1                                              deb
libuuid1                                                                      2.36.1-8+deb11u1                                     deb
libuv1                                                                        1.44.2-1                                             deb
libxml2                                                                       2.9.14+dfsg-1.1+b2                                   deb
libxxhash0                                                                    0.8.0-2                                              deb
libzstd1                                                                      1.5.2+dfsg-1                                         deb
linux-libc-dev                                                                5.10.149-2                                           deb
login                                                                         1:4.8.1-1                                            deb
logsave                                                                       1.46.2-2                                             deb
lru-cache                                                                     6.0.0                                                npm
lru-cache                                                                     7.13.2                                               npm
lsb-base                                                                      11.1.0                                               deb
lsb-release                                                                   12.0-1                                               deb
make                                                                          4.3-4.1                                              deb
make-fetch-happen                                                             10.2.1                                               npm
mawk                                                                          1.3.4.20200120-2                                     deb
media-types                                                                   4.0.0                                                deb
mercurial                                                                     6.2.3                                                python
mercurial                                                                     6.2.3-1+b1                                           deb
mercurial-common                                                              6.2.3-1                                              deb
minimatch                                                                     3.1.2                                                npm
minimatch                                                                     5.1.0                                                npm
minipass                                                                      3.3.4                                                npm
minipass-collect                                                              1.0.2                                                npm
minipass-fetch                                                                2.1.1                                                npm
minipass-flush                                                                1.0.5                                                npm
minipass-json-stream                                                          1.0.1                                                npm
minipass-pipeline                                                             1.2.4                                                npm
minipass-sized                                                                1.0.3                                                npm
minizlib                                                                      2.1.2                                                npm
mkdirp                                                                        1.0.4                                                npm
mkdirp-infer-owner                                                            2.0.0                                                npm
mount                                                                         2.36.1-8+deb11u1                                     deb
ms                                                                            2.1.2                                                npm
ms                                                                            2.1.3                                                npm
mute-stream                                                                   0.0.8                                                npm
ncurses-base                                                                  6.2+20201114-2                                       deb
ncurses-bin                                                                   6.2+20201114-2                                       deb
negotiator                                                                    0.6.3                                                npm
netbase                                                                       6.3                                                  deb
node                                                                          18.12.1                                              binary
node-gyp                                                                      9.1.0                                                npm
nodejs                                                                        18.12.1-deb-1nodesource1                             deb
nopt                                                                          5.0.0                                                npm
nopt                                                                          6.0.0                                                npm
normalize-package-data                                                        4.0.1                                                npm
npm                                                                           8.19.2                                               npm
npm-audit-report                                                              3.0.0                                                npm
npm-bundled                                                                   1.1.2                                                npm
npm-bundled                                                                   2.0.1                                                npm
npm-init                                                                      0.0.0                                                npm
npm-install-checks                                                            5.0.0                                                npm
npm-normalize-package-bin                                                     1.0.1                                                npm
npm-normalize-package-bin                                                     2.0.0                                                npm
npm-package-arg                                                               9.1.0                                                npm
npm-packlist                                                                  5.1.3                                                npm
npm-pick-manifest                                                             7.0.2                                                npm
npm-profile                                                                   6.2.1                                                npm
npm-registry-fetch                                                            13.3.1                                               npm
npm-user-validate                                                             1.0.1                                                npm
npmlog                                                                        6.0.2                                                npm
once                                                                          1.4.0                                                npm
opener                                                                        1.5.2                                                npm
openssh-client                                                                1:8.4p1-5+deb11u1                                    deb
openssl                                                                       1.1.1n-0+deb11u3                                     deb
p-map                                                                         4.0.0                                                npm
pacote                                                                        13.6.2                                               npm
parse-conflict-json                                                           2.0.2                                                npm
passwd                                                                        1:4.8.1-1                                            deb
path-is-absolute                                                              1.0.1                                                npm
perl                                                                          5.32.1-4+deb11u2                                     deb
perl-base                                                                     5.32.1-4+deb11u2                                     deb
perl-modules-5.32                                                             5.32.1-4+deb11u2                                     deb
pinentry-curses                                                               1.1.0-4                                              deb
pip                                                                           22.3                                                 python
pkg-config                                                                    0.29.2-1                                             deb
postcss-selector-parser                                                       6.0.10                                               npm
proc-log                                                                      2.0.1                                                npm
procps                                                                        2:3.3.17-5                                           deb
promise-all-reject-late                                                       1.0.1                                                npm
promise-call-limit                                                            1.0.1                                                npm
promise-inflight                                                              1.0.1                                                npm
promise-retry                                                                 2.0.1                                                npm
promzard                                                                      0.3.0                                                npm
python3                                                                       3.10.6-1                                             deb
python3-distutils                                                             3.10.8-1                                             deb
python3-lib2to3                                                               3.10.8-1                                             deb
python3-minimal                                                               3.10.6-1                                             deb
python3-pip                                                                   22.3+dfsg-1                                          deb
python3-pkg-resources                                                         65.5.0-1                                             deb
python3-setuptools                                                            65.5.0-1                                             deb
python3-wheel                                                                 0.38.4-1                                             deb
python3.10                                                                    3.10.8-3                                             deb
python3.10-minimal                                                            3.10.8-3                                             deb
python3.9                                                                     3.9.2-1                                              deb
python3.9-minimal                                                             3.9.2-1                                              deb
qrcode-terminal                                                               0.12.0                                               npm
read                                                                          1.0.7                                                npm
read-cmd-shim                                                                 3.0.0                                                npm
read-package-json                                                             5.0.2                                                npm
read-package-json-fast                                                        2.0.3                                                npm
readable-stream                                                               3.6.0                                                npm
readdir-scoped-modules                                                        1.1.0                                                npm
readline-common                                                               8.1-1                                                deb
retry                                                                         0.12.0                                               npm
rimraf                                                                        3.0.2                                                npm
